"names" "transcripts" "pool_ratio" "weighted_length"
"244" "YAL028W" 0.52 31.156462585
"245" "YFL002W-A" 0.521 22.6916868442
"246" "YKL082C" 0.521 24.6155317521
"247" "YCL012W" 0.522 24.5111680703
"248" "YAL002W" 0.522 28.2964801444
"249" "YNL087W" 0.523 23.0033196641
"250" "YOL157C" 0.523 23.9057456423
"251" "YHR214W" 0.523 25.4508611955
"252" "YOR290C" 0.523 25.6333559937
"253" "YBL061C" 0.523 26.8085106383
"254" "YDL019C" 0.523 27.2990777339
"255" "YLL037W" 0.524 21.5358819584
"256" "YLR086W" 0.526 21.3848014513
"257" "YMR045C" 0.526 24.6189808322
"258" "YPL043W" 0.526 25.321933345
"259" "YGR056W" 0.526 27.3096532971
"260" "YPR185W" 0.526 27.4151557415
"261" "YKL089W" 0.526 28.1821366025
"262" "YCR103C" 0.526 29.1564147627
"263" "YDR334W" 0.527 27.4673533198
"264" "YDR324C" 0.527 27.8476546285
"265" "YLR224W" 0.527 31.0139473102
"266" "YOL004W" 0.528 25.5121846021
"267" "YDL042C" 0.528 29.8195384348
"268" "YOR354C" 0.529 27.5729886338
"269" "YAL011W" 0.529 28.1730769231
"270" "YJL059W" 0.53 26.9723591172
"271" "YFL019C" 0.53 30.9652928416
"272" "YJR134C" 0.531 23.0870246962
"273" "YJR089W" 0.531 25.9509644853
"274" "YDR150W" 0.531 27.2644787645
"275" "YKL166C" 0.532 28.1888412017
"276" "YIL075C" 0.533 23.9592081584
"277" "YOR240W" 0.534 25.0064710958
"278" "YBR144C" 0.534 27.0591824283
"279" "YML117W" 0.536 27.9633311244
"280" "YMR186W" 0.537 22.1982335623
"281" "YAR066W" 0.539 29.3451111788
"282" "YDL087C" 0.539 30.0249598859
"283" "YOL061W-R" 0.539 31.5313225058
"284" "YPL146C" 0.54 25.4842615012
"285" "YNL136W" 0.54 25.9333821376
"286" "YDR149C" 0.54 28.3460493987
"287" "YDR017C" 0.541 25.9337134711
"288" "YGR052W" 0.541 28.0719091674
"289" "YOR127W" 0.542 23.8583899127
"290" "YOR341W" 0.543 23.7082818294
"291" "YFR033C" 0.543 25.8125368442
"292" "YDL225W" 0.544 23.6099071207
"293" "YOL123W" 0.544 25.1304852117
"294" "YDL035C" 0.544 25.1450756028
"295" "YKL048C" 0.544 27.8629032258
"296" "YDR098C-B" 0.545 21.1670395227
"297" "YPL106C" 0.545 23.1295533735
"298" "YGR083C" 0.545 24.2215874311
"299" "YKR032W" 0.545 30.732017823
"300" "YBR065C" 0.546 25.0037622272
"301" "YPL259C" 0.546 29.3362221785
"302" "YLL065W" 0.547 29.3646167298
"303" "YBL022C" 0.548 30.0041762372
"304" "YDR023W" 0.549 24.4417601381
"305" "YGR162W" 0.549 24.9252541359
"306" "YAR044W" 0.549 26.2062101911
"307" "YHR156C" 0.55 25.5763416478
"308" "YKL011C" 0.55 27.7763773857
"309" "YOL148C" 0.551 25.926135293
"310" "YDR515W" 0.551 31.6450738174
"311" "YKL124W" 0.552 28.476689105
"312" "YLR001C" 0.552 29.3074204947
"313" "YCL014W" 0.553 23.7612255679
"314" "YLR138W" 0.553 23.8709677419
"315" "YCR093W" 0.554 23.8343434343
"316" "YMR118C" 0.554 29.3136031378
"317" "YNL271C" 0.556 21.4517766497
"318" "YHR060W" 0.556 26.3416567578
"319" "YOR380W" 0.557 29.762482663
"320" "YBL099W" 0.558 24.4174565561
"321" "YAL041W" 0.558 30.2525458248
"322" "YKL154W" 0.559 27.2764149121
"323" "YKL046C" 0.559 27.4793296089
"324" "YAL047C" 0.56 30.0916453538
"325" "YOR206W" 0.561 23.9026352847
"326" "YAL048C" 0.561 28.8736210567
"327" "YLR109W" 0.562 27.3317919075
"328" "YKL213C" 0.562 31.2586098936
"329" "YKL092C" 0.563 24.3044664166
"330" "YKL050C" 0.564 28.2446285634
"331" "YLR353W" 0.564 29.8825442718
"332" "YPR145W" 0.565 22.743902439
"333" "YBL047C" 0.565 23.6208567552
"334" "YPL154C" 0.565 25.0085726532
"335" "YDL005C" 0.565 28.4815140845
"336" "YMR219W" 0.566 22.1124773231
