"Transcript.ID" "Gene.name" "Poly.A..tags" "Mean.TL" "Median.TL" "X10th..ile..TL" "X25th..ile..TL" "X75th..ile..TL" "X90th..ile..TL" "mRNA.RPKM" "RPF.RPKM" "log2.TE."
"133" "YLR188W" "YLR188W" 87 25.2 22.3 10.2 13.3 33.9 44.2 63.53 22.15 -1.52013132036
"134" "YDR286C" "YDR286C" 56 25.8 21.8 6.7 10 37.4 50 53.37 47.65 -0.163552797191
"135" "YFR018C" "YFR018C" 107 29.7 27.7 13.3 18.8 37.7 50.4 51.58 27.32 -0.916854289499
"136" "YDR399W" "YDR399W" 428 28 25 7.7 14 39.4 53.4 324.77 406.43 0.323588523821
"137" "YGR028W" "YGR028W" 62 26.9 17.7 6 10.4 45.9 59.3 39.84 24.82 -0.682714531938
"138" "YNR060W" "YNR060W" 0 NA NA NA NA NA NA 5.02 3.47 -0.532751701373
"139" "YLR355C" "YLR355C" 57 0.5 -0.2 -3.8 -2.2 3.2 5.4 2008.54 3527.45 0.812478440533
"140" "YLR455W" "YLR455W" 65 33.6 32.3 9.2 14.1 45 61.7 54.45 31.24 -0.801537595462
"141" "YGL157W" "YGL157W" 0 NA NA NA NA NA NA 87.93 103.29 0.23227321288
"142" "YLR233C" "YLR233C" 1 5.9 5.9 NA NA NA NA 10.46 1.1 -3.24930742272
"143" "YGR099W" "YGR099W" 78 31.5 25.6 10.3 15 45.5 58.7 28.53 11.28 -1.33871267918
"144" "YJR093C" "YJR093C" 86 32.2 26.7 7.8 13.6 50.1 62.9 31.68 39.81 0.329558536012
"145" "YGR128C" "YGR128C" 220 28.2 25.4 9 14.2 42.2 53.6 80.38 78.33 -0.0372716190247
"146" "YOL090W" "YOL090W" 68 27.7 27.3 5.7 12.5 42.3 55.5 75.8 52.12 -0.54036076449
"147" "YLR300W" "YLR300W" 930 28.4 25 8.1 14.6 40.4 52.4 445.78 444.92 -0.00278593942005
"148" "YNL145W" "YNL145W" 2 -7 -7 NA NA NA NA 664.44 1769.01 1.41273137062
"149" "YMR195W" "YMR195W" 52 30.9 26 8.1 15.4 42.4 55.7 55.67 74.43 0.418984152748
"150" "YJL091C" "YJL091C" 42 30.8 29.6 7.1 17.9 44.9 51.7 40.54 30.64 -0.403929791542
"151" "YJR140C" "YJR140C" 116 23.4 18.2 5.3 8.5 35.3 48.1 31.48 11.63 -1.43658444403
"152" "YGR146C" "YGR146C" 0 NA NA NA NA NA NA 61.15 37.92 -0.689393534516
"153" "YOR033C" "YOR033C" 71 36.2 32.4 9.9 17.9 51.8 67.3 30.85 8.2 -1.91157467453
"154" "YBR222C" "YBR222C" 0 NA NA NA NA NA NA 83.48 87.62 0.0698296141631
"155" "YNR021W" "YNR021W" 221 31 28.3 10 17.9 43.3 55.6 235.56 213.54 -0.141588239956
"156" "YML016C" "YML016C" 0 NA NA NA NA NA NA 36.79 24.85 -0.566067824523
"157" "YBR043C" "YBR043C" 37 46.2 46.4 24 36.5 56.7 63.9 25.13 5.16 -2.28396770046
"158" "YPL067C" "YPL067C" 37 44.2 44.5 20 28.4 59 72.7 23.08 32.18 0.479521102078
"159" "YDR380W" "YDR380W" 0 NA NA NA NA NA NA 30.9 27.15 -0.1866546401
"160" "YGL100W" "YGL100W" 127 33.8 27.3 10.3 18.7 46.4 60.8 89.17 74.41 -0.26106189827
"161" "YBR094W" "YBR094W" 90 33.2 30.1 8.7 18.8 44.9 60.5 40.43 30.9 -0.38781936548
"162" "YGR142W" "YGR142W" 0 NA NA NA NA NA NA 40.73 30.82 -0.402224952489
"163" "YNR007C" "YNR007C" 1 26.7 26.7 NA NA NA NA 12.6 19.75 0.648428919565
"164" "YDR035W" "YDR035W" 171 23.9 23.5 7.4 12.3 33.4 41.9 156.66 182.35 0.219073336189
"165" "YGR042W" "YGR042W" 25 40.7 43.3 15 22.7 53.7 65.8 28.17 13.4 -1.07192656303
"166" "YHR106W" "YHR106W" 1 2.9 2.9 NA NA NA NA 27.73 12.28 -1.17513705567
"167" "YDR485C" "YDR485C" 0 NA NA NA NA NA NA 21.01 15.23 -0.464160220186
"168" "YGR077C" "YGR077C" 75 32.3 28.9 8.4 13.9 48.5 64 25.01 8.75 -1.51515013546
"169" "YNL321W" "YNL321W" 7 44.5 32.2 NA NA NA NA 43.09 22.81 -0.917686651798
"170" "YOR216C" "YOR216C" 0 NA NA NA NA NA NA 54.58 43.41 -0.330344972021
"171" "YIL044C" "YIL044C" 132 26.5 23.8 4.4 12.7 40.2 50.9 72.75 71.55 -0.023995481069
"172" "YPL239W" "YPL239W" 192 25.4 21.6 7.6 13.7 33.2 51.3 112.41 172.84 0.620666752539
"173" "YNL197C" "YNL197C" 0 NA NA NA NA NA NA 48.65 44.59 -0.125719605355
"174" "YPR183W" "YPR183W" 736 28.8 26.1 9.7 16.4 39.5 51.3 206.65 418.6 1.01838294788
"175" "YOR206W" "YOR206W" 124 29.1 28 8.1 14.4 40.7 54.8 125.69 116.74 -0.106570898985
"176" "YDL073W" "YDL073W" 46 25 21.4 8.5 13.3 34.3 45.9 37.33 8.2 -2.1866396938
"177" "YPR133C" "YPR133C" 6 29.2 28.6 NA NA NA NA 88.68 109.23 0.300688471298
"178" "YDL004W" "YDL004W" 480 21.6 18 6.6 11.5 29.1 41.8 205 335.42 0.710344804934
"179" "YCR046C" "YCR046C" 203 27.8 23.7 7.7 13.2 40.3 54.1 88.81 95.54 0.105382743723
"180" "YLR059C" "YLR059C" 7 9 9.3 NA NA NA NA 69.65 63.57 -0.131777264395
"181" "YOL001W" "YOL001W" 0 NA NA NA NA NA NA 21.37 5.7 -1.90655308361
"182" "YDR525W-A" "YDR525W-A" 148 30.2 26.7 7.8 13 44.6 56.7 NA NA NA
"183" "YIL056W" "YIL056W" 9 37.6 33.5 NA NA NA NA 26.81 14.28 -0.908775239953
"184" "YBR054W" "YBR054W" 61 29.1 25.7 11.5 14 38.8 55.2 42.58 49.55 0.218709107622
"185" "YDR059C" "YDR059C" 72 31.9 26.4 9.7 16 46.8 58.3 27.35 31.41 0.199683109972
"186" "YOL063C" "YOL063C" 71 33.6 28.3 9.6 14 51.4 64.5 28.74 8 -1.84498815668
"187" "YHR098C" "YHR098C" 448 31.2 28.8 10.2 18 42 56.1 143.6 82.86 -0.793308023731
"188" "YPL224C" "YPL224C" 2 4.6 4.6 NA NA NA NA 29.95 18.46 -0.69815345003
"189" "YLR137W" "YLR137W" 52 34.2 30.7 14 21.9 45.3 58 22.28 13.01 -0.776128270622
"190" "YNL144C" "YNL144C" 0 NA NA NA NA NA NA 5.5 1.79 -1.61947203115
"191" "YLR020C" "YLR020C" 93 27.2 24 7.2 13.9 38.8 49.3 49.02 25.31 -0.953662976756
"192" "YGR260W" "YGR260W" 1 42.7 42.7 NA NA NA NA 183.29 160.44 -0.192094205699
"193" "YKL204W" "YKL204W" 117 26.5 23 6.9 11.1 39.1 51.2 48.96 68.92 0.493319143532
"194" "YER067W" "YER067W" 104 31.3 26.7 8 13 45.6 59.9 49.5 65.1 0.395229018199
"195" "YDL042C" "YDL042C" 90 30.5 30 9.1 16.3 41.5 51.3 27 18.05 -0.580960570164
"196" "YMR226C" "YMR226C" 742 24.2 22 6.7 12.6 32.7 45.2 294.31 442.82 0.589383820342
"197" "YPL248C" "YPL248C" 10 19.8 17.7 7.9 9.9 29.2 34.1 NA NA NA
"198" "YDR531W" "YDR531W" 178 32.1 28.2 12.2 17.4 44.8 58 83.31 57.07 -0.545757114864
"199" "YMR091C" "YMR091C" 0 NA NA NA NA NA NA 81.56 97.43 0.256504290456
"200" "YIL013C" "YIL013C" 0 NA NA NA NA NA NA 4.18 0.89 -2.23162570111
"201" "YPL005W" "YPL005W" 35 25.5 18.7 7 11.4 34.7 56.9 10.04 3.12 -1.68614133509
"202" "YOR266W" "YOR266W" 39 25.3 20.9 3.2 8.5 38.2 56.3 15.77 8.6 -0.874774095201
"203" "YPL206C" "YPL206C" 148 26.3 22.4 7.1 12.6 35.7 54.2 50.82 79.48 0.645195497196
"204" "YOL136C" "YOL136C" 0 NA NA NA NA NA NA 52.91 26.32 -1.00738092867
"205" "YDL060W" "YDL060W" 161 24 18.3 7.6 11.2 33.9 48.3 79.9 68.23 -0.227789286854
"206" "YLR002C" "YLR002C" 191 35.8 33.6 10.1 17.9 51.1 61.9 63.81 64 0.0042893710929
"207" "YPR084W" "YPR084W" 26 26.7 22.9 9 10.4 39.1 52.4 18.6 8.22 -1.17809232231
"208" "YDR320C-A" "YDR320C-A" 260 29.7 23.4 9.9 14.6 43.2 60.1 84.33 71.47 -0.238708166166
"209" "YMR085W" "YMR085W" 1 55.9 55.9 NA NA NA NA NA NA NA
"210" "YDR393W" "YDR393W" 43 29.5 27.4 4.7 13.5 45.9 58.6 27.23 11.44 -1.25110993027
"211" "YBR293W" "YBR293W" 50 45.6 49.3 22.5 28.7 60 71.4 18.36 2.8 -2.71306732647
