"Transcript.ID" "Gene.name" "Poly.A..tags" "Mean.TL" "Median.TL" "X10th..ile..TL" "X25th..ile..TL" "X75th..ile..TL" "X90th..ile..TL" "mRNA.RPKM" "RPF.RPKM" "log2.TE."
"37" "YNR067C" "YNR067C" 635 33.9 35.3 7.9 14.8 49.4 57.6 NA NA NA
"38" "YNL152W" "YNL152W" 144 35.2 36.6 14.5 24.2 47.1 53.6 NA NA NA
"39" "YLR382C" "YLR382C" 205 40.6 42 11.9 26.4 53.6 63.7 NA NA NA
"40" "YFL045C" "YFL045C" 1 28.5 28.5 NA NA NA NA NA NA NA
"41" "YDR141C" "YDR141C" 1 38.2 38.2 NA NA NA NA NA NA NA
"42" "YJL131C" "YJL131C" 189 34.7 33.6 11.7 21 48.9 58.5 NA NA NA
"43" "YDL170W" "YDL170W" 91 50.2 50.8 28.6 40.4 59.9 69.7 NA NA NA
"44" "YIL124W" "YIL124W" 936 33.1 32.4 14 20.9 43.3 52.2 NA NA NA
"45" "YJR044C" "YJR044C" 591 30.1 28.8 12.8 19.1 40.3 48.3 NA NA NA
"46" "YJR011C" "YJR011C" 103 32.1 31.4 7.6 15.1 48.3 58 NA NA NA
"47" "YGL141W" "YGL141W" 154 32.5 29.6 13.5 19.9 45.5 53.5 NA NA NA
"48" "YMR009W" "YMR009W" 91 32.5 29.8 16 21.2 43 53.8 NA NA NA
"49" "YOR123C" "YOR123C" 800 36.4 36.2 15.4 22.7 48.8 58.6 NA NA NA
"50" "YBR128C" "YBR128C" 22 38.1 42.3 19.8 31.3 45.5 53.7 NA NA NA
"51" "YDR363W" "YDR363W" 161 38.1 37.8 18.3 27.7 47.1 57 NA NA NA
"52" "YPL194W" "YPL194W" 85 41.2 41.1 17.2 29 55 62.6 NA NA NA
"53" "YLR362W" "YLR362W" 128 40.6 36.8 16.5 24.5 50.1 62.6 NA NA NA
"54" "YPL092W" "YPL092W" 350 39.1 38.5 17.5 27.4 49.2 58.8 NA NA NA
"55" "YNL166C" "YNL166C" 908 35.8 35 15.8 23.4 47.5 56.7 NA NA NA
"56" "YKL134C" "YKL134C" 61 28.3 24.3 6.1 11.3 44.3 56.2 NA NA NA
"57" "YDR090C" "YDR090C" 454 36.4 35.9 14.6 25.8 48.3 57.4 NA NA NA
"58" "YCL017C" "YCL017C" 111 46.3 45.7 27.9 37.1 55.5 67.4 NA NA NA
"59" "YIL108W" "YIL108W" 23 43.3 45.8 26 33.9 53.7 59.9 NA NA NA
"60" "YKL052C" "YKL052C" 220 39.2 40.7 15.2 23.8 51.4 59.9 NA NA NA
"61" "YBR273C" "YBR273C" 370 34 33 16.9 23.8 43 53 NA NA NA
"62" "YFR005C" "YFR005C" 332 35.2 35 13.5 22.5 47 54.6 NA NA NA
"63" "YER093C-A" "YER093C-A" 123 41.4 42.5 10.5 26.9 57.9 67.7 NA NA NA
"64" "YJR135W-A" "YJR135W-A" 1 20 20 NA NA NA NA NA NA NA
"65" "YFL017W-A" "YFL017W-A" 300 32.3 31.4 12.7 19.4 43.3 54 NA NA NA
"66" "YFR050C" "YFR050C" 645 24.3 21.9 6.5 12 34 46.3 NA NA NA
"67" "YBL008W" "YBL008W" 22 39.6 36.4 18 25 56.8 60.4 NA NA NA
"68" "YLR079W" "YLR079W" 602 37.4 38.9 12.2 25.7 50 56.4 NA NA NA
"69" "YCL043C" "YCL043C" 6024 23.1 21.7 8 13.6 30.3 40 NA NA NA
"70" "YGR089W" "YGR089W" 499 35.7 34.2 13.3 21.8 48.3 58.5 NA NA NA
"71" "YGL237C" "YGL237C" 1 37.8 37.8 NA NA NA NA NA NA NA
"72" "YOL058W" "YOL058W" 320 37.1 36.8 15.6 23.3 50.1 59.3 NA NA NA
"73" "YIL062C" "YIL062C" 907 29.7 28.2 10.5 16.9 39.6 50.5 NA NA NA
"74" "YPL059W" "YPL059W" 1 25.9 25.9 NA NA NA NA NA NA NA
"75" "YAR019C" "YAR019C" 68 31.8 30.4 9.8 14.6 47.4 55.6 NA NA NA
"76" "YDR299W" "YDR299W" 1 9.7 9.7 NA NA NA NA NA NA NA
"77" "YDL226C" "YDL226C" 864 28.2 26.7 10.2 16.1 37.9 49.1 NA NA NA
"78" "YGL257C" "YGL257C" 1 53.5 53.5 NA NA NA NA NA NA NA
"79" "YDR196C" "YDR196C" 340 34.4 32.8 16.6 23.8 44.6 53.9 NA NA NA
"80" "YBR202W" "YBR202W" 164 31.9 32.3 6.9 15.3 47.3 55.7 NA NA NA
"81" "YHR101C" "YHR101C" 82 36.4 37 17.5 25.7 46 54.2 NA NA NA
"82" "YNL239W" "YNL239W" 590 28.5 27.6 12.3 18.3 36.6 47 NA NA NA
"83" "YDR410C" "YDR410C" 674 33.8 33.2 14.9 20.9 44.6 54.1 NA NA NA
"84" "YBR280C" "YBR280C" 34 28.3 27.8 7.1 11.2 38.8 53 NA NA NA
"85" "YNR045W" "YNR045W" 57 42.9 47.5 11.7 24.5 59.5 67 NA NA NA
"86" "YPL143W" "YPL143W" 7083 27.2 25.4 11.5 17 35.3 45.3 NA NA NA
"87" "YPL268W" "YPL268W" 220 40.7 42.5 13.7 26.7 53.9 63.9 NA NA NA
"88" "YLL040C" "YLL040C" 463 34.6 33 13.1 21.9 46.3 56.1 NA NA NA
"89" "YIL091C" "YIL091C" 350 39 39.3 11 17.5 52.9 65.6 NA NA NA
"90" "YOR322C" "YOR322C" 2 15.2 15.2 NA NA NA NA NA NA NA
"91" "YML092C" "YML092C" 580 31 29.5 13.5 19.8 39.9 50.4 NA NA NA
"92" "YPR054W" "YPR054W" 3 45.8 60 NA NA NA NA NA NA NA
"93" "YOR048C" "YOR048C" 716 28.1 26.7 10.5 16 37.8 48.1 NA NA NA
"94" "YPL104W" "YPL104W" 1 54.2 54.2 NA NA NA NA NA NA NA
"95" "YLR244C" "YLR244C" 2536 33.9 33 13.4 21.8 44.9 55.9 NA NA NA
"96" "YDR198C" "YDR198C" 60 35.2 35.2 13.5 22.4 48.6 56.7 NA NA NA
"97" "YAL039C" "YAL039C" 139 39.6 40.8 12.1 26.1 51 65.3 NA NA NA
"98" "YDL200C" "YDL200C" 254 32.3 30.6 14.1 20.8 41.5 52.4 NA NA NA
"99" "YNR018W" "YNR018W" 744 35.7 34.2 15.2 22.9 47.5 57.9 NA NA NA
"100" "YNL168C" "YNL168C" 282 27.6 26 12.4 18 35.9 44.5 NA NA NA
"101" "YCR034W" "YCR034W" 2120 33.6 32.9 15.2 22.3 43.5 53.3 NA NA NA
"102" "YFR047C" "YFR047C" 482 28.2 25.6 11.2 17.1 37.1 47.7 NA NA NA
"103" "YIL106W" "YIL106W" 440 37.1 36.3 13.5 22.5 49.4 60.1 NA NA NA
"104" "YNL240C" "YNL240C" 215 38.8 37.3 14.9 25.4 51.6 61.6 NA NA NA
"105" "YBR159W" "YBR159W" 961 29.2 27 12.7 18.3 37.6 49.1 NA NA NA
"106" "YOR075W" "YOR075W" 293 29.1 26.9 9.8 15 41.1 50.3 NA NA NA
"107" "YDR404C" "YDR404C" 552 33.5 31.5 15 21.9 42.9 54.4 NA NA NA
"108" "YLR188W" "YLR188W" 168 30.1 28.2 10.5 17 42.3 53.7 NA NA NA
"109" "YDR286C" "YDR286C" 147 27.1 24.9 8.4 15.8 37.7 47.2 NA NA NA
"110" "YFR018C" "YFR018C" 94 34.6 36.7 16 23.9 42.2 51 NA NA NA
"111" "YDR399W" "YDR399W" 2494 33.5 33 11.7 20.5 45.7 54.1 NA NA NA
"112" "YGR028W" "YGR028W" 182 31.8 32.1 11.3 20 42.3 51.3 NA NA NA
"113" "YLR355C" "YLR355C" 1 20.9 20.9 NA NA NA NA NA NA NA
"114" "YLR455W" "YLR455W" 189 34.9 35.3 12.9 19.3 48.1 55.5 NA NA NA
"115" "YGL157W" "YGL157W" 1 44.7 44.7 NA NA NA NA NA NA NA
"116" "YGR099W" "YGR099W" 212 36 35.1 14 21.8 49.3 57.5 NA NA NA
"117" "YJR093C" "YJR093C" 271 37.2 37.6 14 23.9 48.7 55.5 NA NA NA
"118" "YGR128C" "YGR128C" 1217 37.1 36.8 14.7 23.3 50.1 58.4 NA NA NA
"119" "YOL090W" "YOL090W" 408 35.1 36 12.4 19.7 48.1 58.8 NA NA NA
"120" "YLR300W" "YLR300W" 3158 34.4 34 12.4 21.2 45.2 55.3 NA NA NA
"121" "YMR195W" "YMR195W" 171 32.8 30.9 12.8 19 46.3 53.5 NA NA NA
"122" "YJL091C" "YJL091C" 132 30.5 30.4 12.3 21.6 39.4 46.7 NA NA NA
"123" "YJR140C" "YJR140C" 474 32.7 32.7 9.6 16 45.1 57.9 NA NA NA
"124" "YOR033C" "YOR033C" 170 42 42 16.6 26.8 51.7 60.8 NA NA NA
"125" "YOR062C" "YOR062C" 9 44.6 46.2 NA NA NA NA NA NA NA
"126" "YNR021W" "YNR021W" 577 33.6 31.5 16.5 22.9 42.2 52.7 NA NA NA
"127" "YBR043C" "YBR043C" 152 43.4 42.9 28.6 35.3 50.9 59 NA NA NA
"128" "YPL067C" "YPL067C" 32 49.3 47.1 31 37.7 66 71.6 NA NA NA
"129" "YGL100W" "YGL100W" 264 33.7 31.5 14.6 21 44.3 54.5 NA NA NA
"130" "YBR094W" "YBR094W" 336 32 29.3 14.2 20.2 44.4 53.2 NA NA NA
"131" "YNR007C" "YNR007C" 2 59.9 59.9 NA NA NA NA NA NA NA
"132" "YDR035W" "YDR035W" 1193 29.7 29 11.1 18.8 39.5 49.4 NA NA NA
"133" "YGR042W" "YGR042W" 116 42.6 42.7 24.7 34.2 51.8 58.4 NA NA NA
"134" "YGR077C" "YGR077C" 166 38.9 38.9 11.9 21.4 51 59.6 NA NA NA
"135" "YNL321W" "YNL321W" 13 32 34.7 16.2 17.1 42.3 45.5 NA NA NA
"136" "YIL044C" "YIL044C" 566 33.3 31.6 15.8 22.2 42.6 51.4 NA NA NA
"137" "YPL239W" "YPL239W" 1274 32.4 31.4 13 21.1 42.4 53 NA NA NA
"138" "YPR183W" "YPR183W" 903 33.1 31.9 14.6 22.1 42 52.2 NA NA NA
"139" "YOR206W" "YOR206W" 1441 36.5 36 13.5 23.7 49.5 58.1 NA NA NA
"140" "YDL073W" "YDL073W" 286 31.7 31.6 12.6 21.1 42.2 51 NA NA NA
"141" "YPR133C" "YPR133C" 13 33 31.6 18.5 23.1 44.5 53.5 NA NA NA
"142" "YDL004W" "YDL004W" 1360 24.3 22.6 8.9 14.3 32.6 42.6 NA NA NA
"143" "YCR046C" "YCR046C" 371 32.4 30.7 12.4 19.6 43.6 55.7 NA NA NA
"144" "YDR525W-A" "YDR525W-A" 279 36.2 35.2 9.7 17.9 51.1 67.2 NA NA NA
"145" "YIL056W" "YIL056W" 17 40.5 39.3 11.6 17.6 60.9 69.8 NA NA NA
"146" "YBR054W" "YBR054W" 118 29.2 29.7 6.4 18.1 40.3 49.3 NA NA NA
"147" "YDR059C" "YDR059C" 113 35 34.6 11 18.6 48.6 59 NA NA NA
"148" "YOL063C" "YOL063C" 163 44.4 45.7 16.1 29.9 59.6 69.3 NA NA NA
"149" "YHR098C" "YHR098C" 1568 34.4 33.5 14.4 20.7 45.9 57.3 NA NA NA
"150" "YLR137W" "YLR137W" 120 35.6 34.2 14 24 46.6 57.7 NA NA NA
"151" "YLR020C" "YLR020C" 584 33.7 32.2 13.8 21.1 44.1 56.1 NA NA NA
"152" "YKL204W" "YKL204W" 220 33.9 33 10.2 18.3 44.8 54.9 NA NA NA
"153" "YER067W" "YER067W" 94 34.3 34.2 12.6 18.9 48.3 56.8 NA NA NA
"154" "YDL042C" "YDL042C" 365 33.1 33.4 14.4 22.8 43.2 51.2 NA NA NA
"155" "YMR226C" "YMR226C" 1710 24 21.2 8.5 13.2 31.7 42.1 NA NA NA
"156" "YPL248C" "YPL248C" 16 34.9 30.7 14.3 17.9 49.1 65.1 NA NA NA
"157" "YDR531W" "YDR531W" 838 34.3 32.4 16.1 22.8 44.6 54.1 NA NA NA
"158" "YMR091C" "YMR091C" 3 22.8 19.3 NA NA NA NA NA NA NA
"159" "YPL005W" "YPL005W" 70 38.3 40.2 10.8 16.4 53.2 62.2 NA NA NA
"160" "YOR266W" "YOR266W" 195 31.7 30 9.8 15.6 42.7 52.9 NA NA NA
"161" "YPL206C" "YPL206C" 364 30.7 29.7 11.3 17.9 42 53.6 NA NA NA
"162" "YDL060W" "YDL060W" 553 31.5 29 10.5 17.1 43.7 55.7 NA NA NA
"163" "YLR002C" "YLR002C" 762 39.3 40.4 14.4 23.9 53.2 62.3 NA NA NA
"164" "YPR084W" "YPR084W" 136 32.3 31.9 9.9 19 45.8 52.6 NA NA NA
"165" "YDR320C-A" "YDR320C-A" 426 29 26.2 9.9 15.3 41.7 50.4 NA NA NA
"166" "YDR393W" "YDR393W" 212 28.9 27 6.3 10.9 46.3 56.6 NA NA NA
"167" "YBR293W" "YBR293W" 180 46.8 46.7 29.3 37.3 56 63.1 NA NA NA
"168" "YGL084C" "YGL084C" 702 30.9 29.1 11.9 18.6 41 53.7 NA NA NA
"169" "YNR052C" "YNR052C" 363 27 26.3 7.5 14.9 37.3 46.3 NA NA NA
"170" "YGR019W" "YGR019W" 293 27.3 26.3 9.3 16.2 38 44.8 NA NA NA
"171" "YGL244W" "YGL244W" 1204 32.7 31.2 13.3 21.1 43.7 53.6 NA NA NA
"172" "YEL032W" "YEL032W" 205 34.6 36.2 8.5 19.3 49.3 58.3 NA NA NA
"173" "YOL076W" "YOL076W" 586 47.1 46.9 27.5 36.5 57 66 NA NA NA
"174" "YER145C" "YER145C" 1370 34.2 33.4 13.2 21.1 46 55.1 NA NA NA
"175" "YER110C" "YER110C" 896 30.4 29.2 9.1 17 41 53.2 NA NA NA
"176" "YOR236W" "YOR236W" 424 37 35.5 17.1 26.5 47.4 56.1 NA NA NA
"177" "YBL033C" "YBL033C" 203 33.1 34.5 9.4 19.2 45.1 53.4 NA NA NA
"178" "YPL266W" "YPL266W" 652 27.1 26 10.3 16.1 36.1 44.7 NA NA NA
"179" "YML009C" "YML009C" 300 28.8 24.7 10.9 15.5 38.2 53.4 NA NA NA
"180" "YMR026C" "YMR026C" 226 33.7 34.3 13.7 21.9 45.6 53.1 NA NA NA
"181" "YLR023C" "YLR023C" 500 35.7 35.8 14.3 19.8 48.6 59 NA NA NA
"182" "YML110C" "YML110C" 1895 25.9 24.2 10.7 15.9 34.1 42.9 NA NA NA
"183" "YOR080W" "YOR080W" 160 33.7 33.5 13.4 20.3 46.6 54.7 NA NA NA
"184" "YER169W" "YER169W" 244 35.7 36.5 11.1 18 50.4 62.4 NA NA NA
"185" "YOL016C" "YOL016C" 136 32.6 30.9 11.4 18.3 43.6 51.8 NA NA NA
"186" "YOR226C" "YOR226C" 536 36.2 35.6 14.4 24 47.9 57.6 NA NA NA
"187" "YGL241W" "YGL241W" 338 33.4 33.4 9 16.6 47.3 58.8 NA NA NA
"188" "YEL025C" "YEL025C" 230 32 29.9 11.3 19 46.6 55.3 NA NA NA
"189" "YLR108C" "YLR108C" 59 34.9 36.1 9.3 13.4 52.8 63.8 NA NA NA
"190" "YLR229C" "YLR229C" 1610 32.3 30.9 13.1 20.3 43.2 53.8 NA NA NA
"191" "YMR040W" "YMR040W" 47 42.4 37.6 24.5 29.6 52.8 65.8 NA NA NA
"192" "YPL254W" "YPL254W" 443 30.7 29.2 9.1 16.4 43.6 53.7 NA NA NA
"193" "YBL063W" "YBL063W" 10 24.3 27.3 6.4 15.2 33.9 37.8 NA NA NA
"194" "YML019W" "YML019W" 865 35.2 33 18.3 23.5 45.6 55.4 NA NA NA
"195" "YKR008W" "YKR008W" 257 38 36.7 11.6 21.4 52 61.1 NA NA NA
"196" "YMR146C" "YMR146C" 4400 31.8 30.4 13.5 21 40.8 51.1 NA NA NA
"197" "YPR024W" "YPR024W" 617 30.1 28.5 10.4 16.1 42.8 52.3 NA NA NA
"198" "YDR226W" "YDR226W" 5470 29.9 28.8 13.6 20.1 38.1 47.6 NA NA NA
"199" "YMR266W" "YMR266W" 1694 38.4 37.8 16.7 25.3 49.9 59.3 NA NA NA
"200" "YDR057W" "YDR057W" 174 44 42 20.6 30 54.8 66 NA NA NA
"201" "YKR064W" "YKR064W" 74 39.3 41 16.7 22.5 53.6 63.2 NA NA NA
"202" "YGR062C" "YGR062C" 101 30.3 29.7 7.2 13.6 47.3 55.3 NA NA NA
"203" "YLR097C" "YLR097C" 145 36.5 36 18.4 26.3 46.6 58.5 NA NA NA
"204" "YDR108W" "YDR108W" 132 31.4 28.5 10.5 15.9 44.7 57 NA NA NA
"205" "YJL036W" "YJL036W" 165 30.7 30.4 10.5 19.5 41 51.4 NA NA NA
"206" "YER041W" "YER041W" 71 38.9 39.9 18.1 32 48.4 55.3 NA NA NA
"207" "YBR016W" "YBR016W" 678 35.2 33.9 15 23.7 45.5 56 NA NA NA
"208" "YER009W" "YER009W" 6025 28.3 26.6 13 18.9 36.3 45.6 NA NA NA
"209" "YBR036C" "YBR036C" 849 34.9 34.9 13.2 23.8 46.1 54.7 NA NA NA
"210" "YLR446W" "YLR446W" 1 48.6 48.6 NA NA NA NA NA NA NA
"211" "YDR246W" "YDR246W" 9 31.5 32.3 NA NA NA NA NA NA NA
"212" "YOR288C" "YOR288C" 166 30.4 28.5 12 18.1 39.5 51.6 NA NA NA
"213" "YKL183C-A" "YKL183C-A" 1 10.7 10.7 NA NA NA NA NA NA NA
"214" "YMR310C" "YMR310C" 293 38.3 36.7 15.9 23.9 49.3 57.7 NA NA NA
"215" "YLR163C" "YLR163C" 263 30 26.5 9.1 14.9 43.7 54.6 NA NA NA
"216" "YJR061W" "YJR061W" 70 34.3 31.4 16.6 23.7 48.3 51.7 NA NA NA
"217" "YLR115W" "YLR115W" 238 33.8 33.6 12.1 17.3 47.5 57 NA NA NA
"218" "YNL288W" "YNL288W" 97 36.5 36.6 15.4 21.9 47.4 59.7 NA NA NA
"219" "YLR179C" "YLR179C" 1475 39.9 38.9 18.3 27.1 50.8 62.4 NA NA NA
"220" "YGL014W" "YGL014W" 11 44.4 48.8 32.4 36.6 53.3 59.7 NA NA NA
"221" "YHR131C" "YHR131C" 147 33.4 32.9 8.9 13.7 48.7 62.2 NA NA NA
"222" "YML069W" "YML069W" 1121 29.6 27.5 12.1 17.8 39.9 51.3 NA NA NA
"223" "YLL035W" "YLL035W" 358 30.6 29.7 10.9 17.5 41.6 53.1 NA NA NA
"224" "YER007W" "YER007W" 90 33.8 31.6 11.2 20.4 49.1 53.9 NA NA NA
"225" "YOR141C" "YOR141C" 254 32.3 30.3 11.7 17.2 46.7 55.6 NA NA NA
"226" "YER027C" "YER027C" 450 32.2 29.5 12.9 19.8 43.8 54.3 NA NA NA
"227" "YER167W" "YER167W" 3 14 15.2 NA NA NA NA NA NA NA
"228" "YDL013W" "YDL013W" 164 32.5 34.1 9 15.9 47.4 55.1 NA NA NA
"229" "YBL106C" "YBL106C" 4 53.1 55.1 NA NA NA NA NA NA NA
"230" "YER185W" "YER185W" 1 36.2 36.2 NA NA NA NA NA NA NA
"231" "YGL169W" "YGL169W" 84 37.5 38.3 16.1 22 50.3 59.7 NA NA NA
"232" "YER107C" "YER107C" 630 35.3 34.5 16.4 22.6 45.5 56.2 NA NA NA
"233" "YDL195W" "YDL195W" 1259 29.6 28 7.6 14.4 42.4 53.6 NA NA NA
"234" "YBR038W" "YBR038W" 599 34.4 34.5 10.4 19.3 47.5 58.2 NA NA NA
"235" "YDR117C" "YDR117C" 314 29.9 29.8 11 17.7 40.4 50.6 NA NA NA
"236" "YLR120C" "YLR120C" 326 43.8 44.3 20.2 32.7 54.5 64.3 NA NA NA
"237" "YOR196C" "YOR196C" 362 38.3 37.4 15.2 24.6 50 58.7 NA NA NA
"238" "YBL052C" "YBL052C" 445 33 31.1 11.1 19.3 44.5 53.8 NA NA NA
"239" "YLR438C-A" "YLR438C-A" 1070 22.6 19.9 7.4 12.1 30.9 39.6 NA NA NA
"240" "YBR060C" "YBR060C" 57 42.1 44.3 17.7 25.5 55.5 62.6 NA NA NA
"241" "YNL103W" "YNL103W" 598 33 30.2 12.9 18.3 46.8 55.7 NA NA NA
"242" "YPL202C" "YPL202C" 130 38.4 40.3 17 25.3 49.4 60.4 NA NA NA
"243" "YEL047C" "YEL047C" 470 36.6 35.6 15.2 23.8 48.7 58 NA NA NA
"244" "YLR285W" "YLR285W" 193 32.6 29.8 14.2 20.9 42.6 53 NA NA NA
"245" "YPR036W" "YPR036W" 2585 33.2 30.5 15.1 21.2 42.9 55 NA NA NA
"246" "YML053C" "YML053C" 504 33.7 34.8 13.7 21.8 44.1 52.5 NA NA NA
"247" "YNL317W" "YNL317W" 115 31.9 27.1 14 17.3 44.6 56.2 NA NA NA
"248" "YCR087C-A" "YCR087C-A" 1430 33.9 33.3 13.9 21.8 45.4 54.4 NA NA NA
"249" "YOR208W" "YOR208W" 134 28.4 29.9 8.3 15.3 39.6 48.5 NA NA NA
"250" "YMR274C" "YMR274C" 135 35.4 36.2 11.4 21.6 45.4 57.9 NA NA NA
"251" "YDL055C" "YDL055C" 16440 25.2 23.5 10.2 15.5 33.2 42.6 NA NA NA
"252" "YDR177W" "YDR177W" 1254 28.9 27.6 11.4 18.5 37.2 47.7 NA NA NA
"253" "YNL313C" "YNL313C" 823 31.3 25.6 7.8 13.2 48.4 60.1 NA NA NA
"254" "YHR052W" "YHR052W" 1208 33.8 33 12.7 20.6 45.9 56.4 NA NA NA
"255" "YDR142C" "YDR142C" 101 34.8 36.7 9.9 24.3 48.8 53.8 NA NA NA
"256" "YFL044C" "YFL044C" 156 26.5 24.9 10.2 17.6 35.2 42.7 NA NA NA
"257" "YJR043C" "YJR043C" 237 32.3 31.6 14.6 20 42.6 52.5 NA NA NA
"258" "YPL263C" "YPL263C" 439 35.5 34.8 16 23.5 46 55.4 NA NA NA
"259" "YJL130C" "YJL130C" 3692 30.7 30.3 8.6 16.7 42.6 53 NA NA NA
"260" "YKL060C" "YKL060C" 71446 21.1 19.1 7.1 11.9 28.4 37.6 NA NA NA
"261" "YBL085W" "YBL085W" 320 28.6 27.1 5.8 12.1 42.2 52.2 NA NA NA
"262" "YKL173W" "YKL173W" 1 50.6 50.6 NA NA NA NA NA NA NA
"263" "YGR200C" "YGR200C" 257 29.7 25.3 10.9 16.2 39.9 55.4 NA NA NA
"264" "YBR056W" "YBR056W" 328 26.8 24.6 11 16 35 45.7 NA NA NA
"265" "YLR383W" "YLR383W" 4 35.5 40.6 NA NA NA NA NA NA NA
"266" "YIL127C" "YIL127C" 825 33.9 33.6 14.2 21.4 44.2 53.3 NA NA NA
"267" "YGR214W" "YGR214W" 7013 25 22.7 9.8 14.6 32.8 43.8 NA NA NA
"268" "YLR067C" "YLR067C" 237 29.2 29.1 6.4 11.3 44.2 54.2 NA NA NA
"269" "YKL182W" "YKL182W" 5288 25.9 22.6 6.4 11.6 37.6 49.9 NA NA NA
"270" "YHR064C" "YHR064C" 6893 22.7 21 7.4 12.5 30.7 40.1 NA NA NA
"271" "YDR469W" "YDR469W" 2 27.9 27.9 NA NA NA NA NA NA NA
"272" "YMR079W" "YMR079W" 319 38.7 37.5 18.9 27.7 48.2 59.9 NA NA NA
"273" "YDR333C" "YDR333C" 488 35.8 35.5 13.4 22.5 49.6 58.2 NA NA NA
"274" "YMR013C" "YMR013C" 328 29.5 28.9 9.4 16.5 41.3 51.1 NA NA NA
"275" "YLR223C" "YLR223C" 762 38.3 40.1 13.2 23.8 52.4 59.5 NA NA NA
"276" "YJL178C" "YJL178C" 574 29.7 28.4 11.6 18.1 39.7 49.6 NA NA NA
"277" "YMR268C" "YMR268C" 113 40 41 14.2 24 53 63.2 NA NA NA
"278" "YLR363C" "YLR363C" 294 43.1 42.7 24.2 32.6 51.8 60.1 NA NA NA
"279" "YGR049W" "YGR049W" 224 32.8 33.9 12 20.3 43 52.2 NA NA NA
"280" "YNR026C" "YNR026C" 389 39.2 39.2 16 28 51.5 59.3 NA NA NA
